"","NSub","curDur","exp","group","model","mu_r","sig_r","log_lik","W_P_G","W_L","W_Ds","part"
"4132",10,1.6,"Exp2","mixed","LGM",1.41054624742162,0.183705795960176,0.278490841729316,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4133",10,1.61,"Exp2","mixed","LGM",1.41587853991364,0.184248006186421,0.271696777825555,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4134",10,1.62,"Exp2","mixed","LGM",1.42119783710971,0.184789344446474,0.270160535443324,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4135",10,1.63,"Exp2","mixed","LGM",1.4265042507998,0.185329814930936,0.269958870409025,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4136",10,1.64,"Exp2","mixed","LGM",1.43179789113265,0.185869421807191,0.265104145885048,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4137",10,1.65,"Exp2","mixed","LGM",1.43707886664973,0.186408169219297,0.261464655091629,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4138",10,1.66,"Exp2","mixed","LGM",1.44234728431826,0.186946061287892,0.264469061235824,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4139",10,1.67,"Exp2","mixed","LGM",1.4476032495634,0.18748310211011,0.250023632619883,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4140",10,1.68,"Exp2","mixed","LGM",1.45284686629957,0.188019295759512,0.254820077600874,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4141",10,1.69,"Exp2","mixed","LGM",1.45807823696098,0.188554646286028,0.243142282009117,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4142",10,1.7,"Exp2","mixed","LGM",1.46329746253127,0.189089157715909,0.256682647764357,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4143",10,1.71,"Exp2","mixed","LGM",1.46850464257255,0.189622834051694,0.248491331634841,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4144",10,1.72,"Exp2","mixed","LGM",1.47369987525354,0.190155679272184,0.243006166252435,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4145",10,1.73,"Exp2","mixed","LGM",1.47888325737707,0.190687697332424,0.241061189440046,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4146",10,1.74,"Exp2","mixed","LGM",1.48405488440686,0.191218892163702,0.239076810378027,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4147",10,1.75,"Exp2","mixed","LGM",1.48921485049363,0.191749267673545,0.235376763538762,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4148",10,1.76,"Exp2","mixed","LGM",1.49436324850056,0.192278827745737,0.231286919630533,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4149",10,1.77,"Exp2","mixed","LGM",1.49950017002811,0.192807576240332,0.228682883879582,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
"4150",10,1.78,"Exp2","mixed","LGM",1.5046257054382,0.193335516993683,0.226562702333611,0.316074389519156,0.0785588008968625,0.605366809583982,"all"
