"","NSub","Exp","priortype","range","m_m_BIAS","m_m_err","m_m_RP","m_sd_RP","m_sd_err","m_se_RP","m_se_err","m_sd_BIAS","m_se_BIAS","m_CV","n","se_CV","m_NBIAS","m_NRMSE"
"46","6","Exp2","BR","short",0.109289265400096,0.0470328861040799,0.65300961330735,0.0995171787703175,0.0995171787703175,0.019365163357161,0.019365163357161,0.0995171787703175,0.0147684950116118,0.15233484533859,5,0.00772328992273043,0.190406125533645,0.248309383563675
"47","6","Exp2","IR","long",0.283533587361213,-0.200212867871966,1.4158895601335,0.26029355754599,0.26029355754599,0.0752663317273566,0.0752663317273566,0.26029355754599,0.0526637897135627,0.182065519225619,5,0.0208535805211416,0.169146287377682,0.249293361367725
"48","6","Exp2","IR","short",0.304178669612358,0.296656652687992,0.902633379891262,0.210053543627811,0.210053543627811,0.0622099030341018,0.0622099030341018,0.210053543627811,0.0597860620878479,0.231945080061492,5,0.0156378050763652,0.527826538206015,0.580737664273954
"49","7","Exp1","BR","long",0.15264731226,0.0166669247933333,1.76511812,0.175765664896172,0.175765639222093,0.0326388645828091,0.0326388598152523,0.175765639222093,0.0214118910681119,0.0998779885739259,5,0.00419444094542724,0.0895162705206725,0.134410176984143
"50","7","Exp1","BR","short",0.0714456404404893,-0.00806532764555337,0.57475175592775,0.0741951820275769,0.0741951827123705,0.0139297829510345,0.0139297830732809,0.0741951827123705,0.0105543621597393,0.127577902933362,5,0.0109090246354572,0.124131265450773,0.178888822438477
"51","7","Exp1","IR","long",0.141571878647619,0.0403329501619048,1.78878418571429,0.156575618471837,0.156575603763294,0.0441498088909806,0.0441498045539208,0.156575603763294,0.0302728553807346,0.0920363592107031,5,0.0128763911385346,0.0864746397859008,0.126709711927223
"52","7","Exp1","IR","short",0.111805941883333,0.0730071784547619,0.65582425547619,0.120829212827233,0.120829197144027,0.034350177771023,0.0343501733732396,0.120829197144027,0.0239242925864117,0.178879944282631,5,0.0287875995552142,0.187355350827508,0.259177984984717
"53","7","Exp2","BR","long",0.177860178972991,0.0105791310315846,1.62668155903705,0.17668491593415,0.17668491593415,0.033355633017984,0.033355633017984,0.17668491593415,0.0240978275349109,0.108298471914768,5,0.00690003996437568,0.112136421037794,0.157426369837534
"54","7","Exp2","BR","short",0.0812401729867926,0.035979748935316,0.641956476138586,0.0747449215278029,0.0747449215278029,0.0139445212964668,0.0139445212964668,0.0747449215278029,0.0105618983234208,0.116288722091816,5,0.0117354340767833,0.139379017608922,0.184254467337828
"55","7","Exp2","IR","long",0.310392810309544,-0.262640626210283,1.35346180179518,0.179892156891302,0.179892156891302,0.0498931073634924,0.0498931073634924,0.179892156891302,0.038702145382695,0.132951916506005,5,0.0211410443342584,0.183995477035388,0.232166676445982
"56","7","Exp2","IR","short",0.100155340106879,0.0786955831594911,0.684672310362761,0.0885790101889636,0.0885790101889636,0.0245673971666273,0.0245673971666273,0.0885790101889636,0.01986171538239,0.128911645640543,5,0.0198159924392064,0.172478745803505,0.220727772618153
"57","8","Exp1","BR","long",0.300121287441438,-0.080524214095114,1.6679270270863,0.297206040783583,0.297206076790795,0.0563702618100013,0.0563702686863494,0.297206076790795,0.0375570077674151,0.176806080537345,5,0.0146746600811969,0.170282386710822,0.246225823973004
"58","8","Exp1","BR","short",0.103730213031576,0.0288587065661248,0.611675785399015,0.0701893867845823,0.0701893857306801,0.0131661613052549,0.0131661611069981,0.0701893857306801,0.0110075175433779,0.116696553727533,5,0.014777559490904,0.194670141890951,0.230517751060375
"59","8","Exp1","IR","long",0.423061914057143,-0.392827965657143,1.35562330142857,0.236820336951055,0.236820405327788,0.0656821436884375,0.0656821626527312,0.236820405327788,0.0579293858221669,0.173266423260466,5,0.00817680805068238,0.226283251460361,0.286937552826389
"60","8","Exp1","IR","short",0.224334209028571,0.213484983072527,0.796302042307692,0.163961940193023,0.163961956419959,0.0465908307326657,0.0465908353417021,0.163961956419959,0.0420855590586605,0.211876543228796,5,0.0197955632474636,0.407623080464405,0.460610791285978
"61","8","Exp2","BR","long",0.279690140716743,-0.0200378299666327,1.59606459803883,0.269958729518167,0.269958729518167,0.0534181860355647,0.0534181860355647,0.269958729518167,0.0325749803915948,0.168820236272304,5,0.00825563500906877,0.174841602254954,0.243952687460619
"62","8","Exp2","BR","short",0.104669500081565,0.0654803583086792,0.671457085511949,0.0948101841281191,0.0948101841281191,0.0183058961671717,0.0183058961671717,0.0948101841281191,0.0133273158366698,0.141747560155891,5,0.00855676021439392,0.183484569642285,0.235475891611348
"63","8","Exp2","IR","long",0.407691839632952,-0.338585152146043,1.27751727585942,0.319864090595969,0.319864090595969,0.0916229353732945,0.0916229353732945,0.319864090595969,0.0729689618098389,0.250983474192437,5,0.0156112419786664,0.246133941266571,0.352670345867518
"64","8","Exp2","IR","short",0.183074547661685,0.159041037804272,0.765017765007542,0.153690511652336,0.153690511652336,0.0426260784857534,0.0426260784857535,0.153690511652336,0.0366644420866656,0.199031216211211,5,0.0161232243568058,0.322407638888958,0.38643905304652
"65","9","Exp1","BR","long",0.230302156401839,-0.0807091511630214,1.66774214091954,0.169889795682204,0.169889854315475,0.0320000053114719,0.0320000162878463,0.169889854315475,0.0273414272519861,0.100508905793386,5,0.0123469910671355,0.126321914231408,0.162498203494762
"66","9","Exp1","BR","short",0.086018495433977,0.030579370359954,0.613396450091954,0.0819421690416598,0.0819421687667896,0.01537642072634,0.0153764206711548,0.0819421687667896,0.0102889290064742,0.137562297581892,5,0.0164762759878965,0.162313753912958,0.214416532020421
"67","9","Exp1","IR","long",0.187082832453846,-0.0216463535747253,1.7268049010989,0.170383163084117,0.170383175239853,0.0475975817379306,0.0475975852522588,0.170383175239853,0.0406118571033666,0.101005403916896,5,0.00969925650202935,0.111817885263043,0.15168604676695
"68","9","Exp1","IR","short",0.101014161542857,0.0736234221428571,0.656440505714286,0.0889503789486319,0.0889503730468678,0.0246703963285573,0.0246703946917024,0.0889503730468678,0.020155283284546,0.137308300499186,5,0.0160734703175631,0.195896710490498,0.243615197282844
"69","9","Exp2","BR","long",0.142569667026568,-0.0414001753323298,1.57470225267313,0.165273941226379,0.165273941226379,0.0311240449440399,0.0311240449440399,0.165273941226379,0.0202137646407975,0.104864405373109,5,0.00725301238207227,0.0891671594658734,0.13774764359939
"70","9","Exp2","BR","short",0.0925978101385788,0.0381822863453259,0.644159013548596,0.103854345464714,0.103854345464714,0.0195018756879396,0.0195018756879396,0.103854345464714,0.0123967566732317,0.163425023768089,5,0.0146614551073087,0.160242874681883,0.229933027853246
"71","9","Exp2","IR","long",0.142529920523895,-0.0762726495250637,1.5398297784804,0.158447655229221,0.158447655229221,0.0439454727235381,0.0439454727235381,0.158447655229221,0.0289435424897906,0.103052376980628,5,0.0163740216654366,0.0868259415114099,0.134929231996029
"72","9","Exp2","IR","short",0.0643409916777076,0.0208159080378819,0.626792635241152,0.0698389787762163,0.0698389787762163,0.0195351680080971,0.0195351680080971,0.0698389787762163,0.0132132884106651,0.112142630589487,5,0.0137829900939303,0.108756018959732,0.157841537975906
"73","10","Exp1","BR","long",0.206291398541921,0.168119756720575,1.91657096591133,0.156984430393799,0.156984421013659,0.0295924875028456,0.0295924856860565,0.156984421013659,0.0235038826039968,0.0860363984269619,5,0.0157378393268391,0.128872323379047,0.156115041219369
"74","10","Exp1","BR","short",0.108623480827094,0.0241800275270936,0.606997105748768,0.103497842555129,0.103497838358775,0.0196554380279014,0.0196554372252547,0.103497838358775,0.0134873249159534,0.171219287350168,5,0.00707927210339601,0.195717699725322,0.261397881175822
"75","10","Exp1","IR","long",0.169504973076923,0.0601014555384615,1.80855267472527,0.147905191719196,0.14790519446172,0.0413402051950227,0.0413402056902698,0.14790519446172,0.0297022798404933,0.082032058152412,5,0.0067532082966138,0.104916959954334,0.13531398871943
"76","10","Exp1","IR","short",0.107314251985714,0.0629963017285714,0.645813381428571,0.0839621533379324,0.083962155418152,0.0232869114660219,0.023286912042971,0.083962155418152,0.0183112997733426,0.131441008547013,5,0.0132397252014916,0.200931831653693,0.242710106266909
"77","10","Exp2","BR","long",0.185679048364163,-0.0211003942801383,1.59500203372533,0.221763754007654,0.221763754007654,0.0423506762582229,0.0423506762582229,0.221763754007654,0.0249105493005601,0.140808782036115,5,0.0121341994566523,0.116616001246141,0.182894382719232
"78","10","Exp2","BR","short",0.0975013240190578,0.0306229621112958,0.636599689314566,0.100831357774595,0.100831357774595,0.0192376632171968,0.0192376632171968,0.100831357774595,0.0127591215991391,0.159076647027681,5,0.0129353780213679,0.166456538358698,0.231253349426884
"79","10","Exp2","IR","long",0.300000836222452,-0.22163934265511,1.39446308535035,0.23403545039215,0.23403545039215,0.0678273131355354,0.0678273131355354,0.23403545039215,0.0516512177514492,0.16816114355475,5,0.0123411141561857,0.178375582096059,0.246982982171642
"80","10","Exp2","IR","short",0.129073264396325,0.0961878748716873,0.702164602074957,0.108012447891621,0.108012447891621,0.0304759385606469,0.0304759385606469,0.108012447891621,0.0258834590725476,0.154181792128644,5,0.0120383714228369,0.226919239797292,0.279137574040634
"81","11","Exp1","BR","long",0.192072532041379,0.0139744679213793,1.76242571514943,0.227907650219023,0.227907616005142,0.0425059992494861,0.0425059928799037,0.227907616005142,0.0312176434259693,0.129783493765351,5,0.0104865539788301,0.114005070623484,0.173145698888982
"82","11","Exp1","BR","short",0.0875425798031199,-0.0245530340083087,0.558264049619048,0.063429041484104,0.0634290418494645,0.0119168407309907,0.011916840805418,0.0634290418494645,0.00942476440190918,0.114116036800361,5,0.00573228974130069,0.149542854883988,0.190071944591585
