"","NSub","Exp","priortype","range","minRP","slope","inP","maxDur","mixDur","inPOutlier","CI"
"73","10","Exp1","BR","long",0.417435722607003,0.85780221590962,2.93559935042085,2.4,0.4,"TRUE",0.14219778409038
"74","10","Exp1","BR","short",0.323635560657152,0.485556960603736,0.629098920333263,2.4,0.4,"FALSE",0.514443039396264
"75","10","Exp1","IR","long",0.581075497957864,0.702166774558433,1.9510096534608,2.4,0.4,"FALSE",0.297833225441567
"76","10","Exp1","IR","short",0.342890941458983,0.519755615886723,0.713992610433324,2.4,0.4,"FALSE",0.480244384113277
"77","10","Exp2","BR","long",0.377092940359333,0.753597315184032,1.53039298512909,1.954332247557,0.4912,"FALSE",0.246402684815968
"78","10","Exp2","BR","short",0.418764053861398,0.361326423680423,0.655677750556973,1.954332247557,0.4912,"FALSE",0.638673576319577
"79","10","Exp2","IR","long",1.20758260679604,0.114076145580431,1.3630771998878,1.954332247557,0.4912,"FALSE",0.885923854419569
"80","10","Exp2","IR","short",0.659602958585974,0.070810191703538,0.709868912354154,1.954332247557,0.4912,"FALSE",0.929189808296462
"81","11","Exp1","BR","long",0.452038776030208,0.749226176203757,1.80257560054393,2.4,0.4,"FALSE",0.250773823796243
"82","11","Exp1","BR","short",0.324054302108705,0.402132719797179,0.542017121256029,2.4,0.4,"FALSE",0.597867280202821
"83","11","Exp1","IR","long",0.377695144097227,0.783412672058007,1.74384691701993,2.4,0.4,"FALSE",0.216587327941993
"84","11","Exp1","IR","short",-0.0410634963510083,1.14284340035743,0.287472128556558,2.4,0.4,"TRUE",-0.142843400357435
"85","11","Exp2","BR","long",0.662850243437391,0.540924383647075,1.44388031040143,1.954332247557,0.4912,"FALSE",0.459075616352925
"86","11","Exp2","BR","short",0.415503467758805,0.256496718515055,0.558845506275305,1.954332247557,0.4912,"FALSE",0.743503281484945
"87","11","Exp2","IR","long",0.621379720197477,0.41492399967434,1.06204957963001,1.954332247557,0.4912,"FALSE",0.58507600032566
"88","11","Exp2","IR","short",0.129444261946399,0.977886024248696,5.85350474297992,1.954332247557,0.4912,"TRUE",0.0221139757513037
