"","trialnum","group","interval","targetDur","phyTargetDur","RP","NSub","NT","Exp","NB","repError","valid","firstLoc","order"
"172",172,2,2,1.42704853800327,1.44663353434589,1.62184061653898,9,172,"Exp1",7,0.19479207853571,1,"2","2"
"173",173,2,8,1.69705627484772,1.71702748344615,1.58185666435747,9,173,"Exp1",7,-0.11519961049025,1,"2","2"
"174",174,2,8,1.69705627484772,1.71715126314302,1.94989289013392,9,174,"Exp1",7,0.2528366152862,1,"2","2"
"175",175,2,9,2.01815139660892,2.03466795630084,1.63792700108024,9,175,"Exp1",7,-0.38022439552868,1,"2","2"
"176",176,2,2,1.42704853800327,1.4466720988712,1.74184845384298,9,176,"Exp1",7,0.31479991583971,1,"2","2"
"177",177,2,9,2.01815139660892,2.03469408065575,1.53229098180964,9,177,"Exp1",7,-0.48586041479928,1,"2","2"
"178",178,2,8,1.69705627484772,1.71716183728859,1.60586370549208,9,178,"Exp1",7,-0.0911925693556401,1,"2","2"
"179",179,2,1,1.2,1.21138804313159,1.42200327176761,9,179,"Exp1",7,0.22200327176761,1,"2","2"
"180",180,2,6,1.2,1.21141572251145,1.65396020389744,9,180,"Exp1",7,0.45396020389744,1,"2","2"
"181",181,1,5,0.8,0.811525818018708,1.13387181648432,9,181,"Exp1",7,0.33387181648432,1,"2","2"
"182",182,1,3,0.565685424949238,0.576304585134494,0.973924811609322,9,182,"Exp1",7,0.408239386660084,1,"2","2"
"183",183,1,10,0.8,0.811517420905147,0.651431117225002,9,183,"Exp1",7,-0.148568882774998,1,"2","2"
"184",184,1,7,0.475682846001088,0.493868550936895,0.661881171494315,9,184,"Exp1",7,0.186198325493227,1,"2","2"
"185",185,1,6,0.4,0.411620052309445,0.34193926709122,9,185,"Exp1",7,-0.05806073290878,1,"2","2"
"186",186,1,3,0.565685424949238,0.576284680864774,0.605926217351225,9,186,"Exp1",7,0.040240792401987,1,"2","2"
"187",187,1,5,0.8,0.811518664922914,0.733958586675726,9,187,"Exp1",7,-0.066041413324274,1,"2","2"
"188",188,1,10,0.8,0.811531105089671,0.861906673842896,9,188,"Exp1",7,0.0619066738428959,1,"2","2"
"189",189,1,3,0.565685424949238,0.576298676052829,0.573939739813795,9,189,"Exp1",7,0.00825431486455697,1,"2","2"
"190",190,1,7,0.475682846001088,0.493941947941494,0.661918180998327,9,190,"Exp1",7,0.186235334997239,1,"2","2"
"191",191,1,1,0.4,0.411665458934294,0.165939155129308,9,191,"Exp1",7,-0.234060844870692,1,"2","2"
"192",192,1,9,0.672717132202972,0.682118187840388,0.653952117783774,9,192,"Exp1",8,-0.018765014419198,1,"2","2"
"193",193,1,9,0.672717132202972,0.682164838479366,0.661895788693073,9,193,"Exp1",8,-0.0108213435098991,1,"2","2"
"194",194,1,7,0.475682846001088,0.493883168139291,0.501934788626386,9,194,"Exp1",8,0.026251942625298,1,"2","2"
"195",195,1,4,0.672717132202972,0.682164838479366,0.653827094072767,9,195,"Exp1",8,-0.0188900381302051,1,"2","2"
"196",196,1,1,0.4,0.411635602522438,0.517933158964297,9,196,"Exp1",8,0.117933158964297,1,"2","2"
"197",197,1,2,0.475682846001088,0.493963407239789,0.437985158878291,9,197,"Exp1",8,-0.037697687122797,1,"2","2"
"198",198,1,3,0.565685424949238,0.576383891224395,0.709963363700808,9,198,"Exp1",8,0.14427793875157,1,"2","2"
"199",199,1,10,0.8,0.811501559688622,0.773927610647661,9,199,"Exp1",8,-0.026072389352339,1,"2","2"
"200",200,1,7,0.475682846001088,0.493979890463379,0.525924724526703,9,200,"Exp1",8,0.050241878525615,1,"2","2"
"201",201,1,6,0.4,0.411650219724834,0.381954008691537,9,201,"Exp1",8,-0.018045991308463,1,"2","2"
"202",202,1,8,0.565685424949238,0.576278149772406,0.701909597279155,9,202,"Exp1",8,0.136224172329917,1,"2","2"
"203",203,1,6,0.4,0.411633736497606,0.517907967619976,9,203,"Exp1",8,0.117907967619976,1,"2","2"
