"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_DG","mu_r","sig_r","predY","W_DL_PL","W_DG_PG","sig2_DL","sig2_DG","log_lik","W_P_G","W_L","W_Ds","W_P_S","W_P_L","part"
"1050",94,450,8,2.01815139660892,1.15790964704092,"Exp1","mixed","DIM",0.916876563422418,1.44864563514346,0.120319641114,1.44946230648999,0.495268324794254,0.93479568935504,0.105913926887348,0.013682605886732,0.702666320226714,0.857092259157939,0.0411684051849205,0.101739335657141,0.0411684051849205,0.0411684051849205,"all"
"1051",95,451,8,0.565685424949238,0.933922199173139,"Exp1","mixed","DIM",0.327678262964486,0.742903533933697,0.0677135763085406,0.743190315779978,0.751005790890168,0.530635042805201,0.00410510480610484,0.00773830182029512,1.27334175196091,0.173877569094494,0.504917517855007,0.321204913050498,0.504917517855007,0.504917517855007,"all"
"1052",96,452,8,0.4,0.42186674089271,"Exp1","mixed","DIM",0.369628676230292,0.620469019081162,0.0621417747384438,0.620611955201325,0.601288449067682,0.361481655661983,0.00328672845411395,0.00526354555292465,1.35947046576691,0.133613985863873,0.379034995606229,0.487351018529897,0.379034995606229,0.379034995606229,"all"
"1053",97,453,8,0.4,0.541929003946734,"Exp1","mixed","DIM",0.369628676230292,0.620469019081162,0.0621417747384438,0.620392616444534,0.601288449067682,0.361481655661983,0.00328672845411395,0.00526354555292465,1.36637536925758,0.133613985863873,0.379034995606229,0.487351018529897,0.379034995606229,0.379034995606229,"all"
"1054",98,454,8,0.565685424949238,0.549888225067207,"Exp1","mixed","DIM",0.327678262964486,0.742903533933697,0.0677135763085406,0.742900725431431,0.751005790890168,0.530635042805201,0.00410510480610484,0.00773830182029512,1.27437336653213,0.173877569094494,0.504917517855007,0.321204913050498,0.504917517855007,0.504917517855007,"all"
"1055",99,455,8,2.01815139660892,1.18992660299364,"Exp1","mixed","DIM",0.916876563422418,1.44864563514346,0.120319641114,1.4483461965516,0.495268324794254,0.93479568935504,0.105913926887348,0.013682605886732,0.699012129692255,0.857092259157939,0.0411684051849205,0.101739335657141,0.0411684051849205,0.0411684051849205,"all"
"1056",100,456,8,0.475682846001088,0.653876232742732,"Exp1","mixed","DIM",0.347929220314365,0.68680048067722,0.0650837411232176,0.687154728931925,0.680791181672698,0.444453612634686,0.00372130173393976,0.00647649944453208,1.31034741199612,0.154638398909889,0.443924036636421,0.40143756445369,0.443924036636421,0.443924036636421,"all"
"1057",101,457,8,1.69705627484772,0.997856589713592,"Exp1","mixed","DIM",0.899984329452126,1.42837737584269,0.118116885291288,1.42816074837693,0.409628619043181,0.910230823364065,0.087599738235487,0.0133200162280533,0.719208947977001,0.819193477211965,0.0409692810092036,0.139837241778832,0.0409692810092036,0.0409692810092036,"all"
"1058",102,459,8,0.4,0.469896062374573,"Exp1","mixed","DIM",0.369628676230292,0.620469019081162,0.0621417747384438,0.620167358302673,0.601288449067682,0.361481655661983,0.00328672845411395,0.00526354555292465,1.3539379111405,0.133613985863873,0.379034995606229,0.487351018529897,0.379034995606229,0.379034995606229,"all"
"1059",103,460,8,2.01815139660892,1.18192508529273,"Exp1","mixed","DIM",0.916876563422418,1.44864563514346,0.120319641114,1.44884937441649,0.495268324794254,0.93479568935504,0.105913926887348,0.013682605886732,0.696824357318264,0.857092259157939,0.0411684051849205,0.101739335657141,0.0411684051849205,0.0411684051849205,"all"
