"","NSub","curDur","exp","group","model","mu_r","sig_r","log_lik","W_P_G","W_L","W_Ds","part"
"16595",7,1.49,"Exp1","mixed","IP",1.55786017811723,0.169254507195934,0.348977267555661,0,0.111372113682166,0.888627886317834,"all"
"16596",7,1.5,"Exp1","mixed","IP",1.56753072256227,0.170167028825386,0.354758929353955,0,0.112678678880995,0.887321321119005,"all"
"16597",7,1.51,"Exp1","mixed","IP",1.57717769527988,0.171078067679173,0.351436732830533,0,0.113989535205112,0.886010464794888,"all"
"16598",7,1.52,"Exp1","mixed","IP",1.5868009307164,0.171987607370493,0.341386011977054,0,0.115304618865428,0.884695381134572,"all"
"16599",7,1.53,"Exp1","mixed","IP",1.59640026598195,0.17289563189545,0.33697481985347,0,0.116623866279652,0.883376133720348,"all"
"16600",7,1.54,"Exp1","mixed","IP",1.60597554084302,0.17380212562493,0.333433941101142,0,0.117947214077522,0.882052785922478,"all"
"16601",7,1.55,"Exp1","mixed","IP",1.61552659771469,0.17470707329672,0.327499576402723,0,0.119274599105935,0.880725400894065,"all"
"16602",7,1.56,"Exp1","mixed","IP",1.62505328165249,0.175610460007858,0.324345397563475,0,0.120605958433975,0.879394041566025,"all"
"16603",7,1.57,"Exp1","mixed","IP",1.63455544034391,0.176512271207197,0.314517612219031,0,0.121941229357835,0.878058770642165,"all"
"16604",7,1.58,"Exp1","mixed","IP",1.64403292409957,0.177412492688195,0.30499382837049,0,0.123280349405637,0.876719650594363,"all"
"16605",7,1.59,"Exp1","mixed","IP",1.653485585844,0.178311110581893,0.306450003653328,0,0.124623256342149,0.875376743657851,"all"
"16606",7,1.6,"Exp1","mixed","IP",1.66291328110618,0.179208111350109,0.304090396012069,0,0.125969888173401,0.874030111826599,"all"
"16607",7,1.61,"Exp1","mixed","IP",1.67231586800966,0.180103481778806,0.288917334763394,0,0.127320183151201,0.872679816848799,"all"
"16608",7,1.62,"Exp1","mixed","IP",1.6816932072624,0.180997208971653,0.287815899600682,0,0.128674079777542,0.871325920222458,"all"
"16609",7,1.63,"Exp1","mixed","IP",1.69104516214635,0.181889280343759,0.28867486758099,0,0.130031516808917,0.869968483191083,"all"
"16610",7,1.64,"Exp1","mixed","IP",1.70037159850662,0.182779683615581,0.277065870227845,0,0.131392433260526,0.868607566739474,"all"
"16611",7,1.65,"Exp1","mixed","IP",1.70967238474045,0.183668406806987,0.275985956303217,0,0.132756768410393,0.867243231589607,"all"
"16612",7,1.66,"Exp1","mixed","IP",1.71894739178586,0.18455543823149,0.2701079037537,0,0.13412446180337,0.86587553819663,"all"
"16613",7,1.67,"Exp1","mixed","IP",1.72819649310997,0.185440766490623,0.2676142961385,0,0.135495453255055,0.864504546744945,"all"
"16614",7,1.68,"Exp1","mixed","IP",1.73741956469712,0.186324380468467,0.256862188620484,0,0.136869682855603,0.863130317144397,"all"
"16615",7,1.69,"Exp1","mixed","IP",1.74661648503672,0.18720626932632,0.258747526597606,0,0.138247090973447,0.861752909026553,"all"
"16616",7,1.7,"Exp1","mixed","IP",1.75578713511072,0.188086422497503,0.252438962044401,0,0.139627618258912,0.860372381741088,"all"
