"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_Ds","mu_r","sig_r","predY","W_PI_PL","sig2_PI","log_lik","W_P_G","W_L","W_P_S","W_P_L","part"
"4027",66,415,14,1.954332247557,0.949681861859062,"Exp2","mixed","PIM",0.127982798000904,1.27793441291827,0.219395834646681,1.27871595961623,0.542337607952107,0.0487605466441257,0.1052930622502,0.399089478573817,0.472927723425278,0.472927723425278,0.472927723425278,"all"
"4028",67,417,14,1.44778166151097,1.471143726626,"Exp2","mixed","PIM",0.210781886711595,1.23537016730634,0.209963868343085,1.23395816689397,0.542337607952107,0.0487605466441257,0.148347182261269,0.361195449575097,0.428022663713308,0.428022663713308,0.428022663713308,"all"
"4029",68,418,14,1.954332247557,1.69912183527867,"Exp2","mixed","PIM",0.127982798000904,1.27793441291827,0.219395834646681,1.27854083765308,0.542337607952107,0.0487605466441257,0.100484330801771,0.399089478573817,0.472927723425278,0.472927723425278,0.472927723425278,"all"
"4030",69,419,14,1.44778166151097,1.02267617758389,"Exp2","mixed","PIM",0.210781886711595,1.23537016730634,0.209963868343085,1.23536437775065,0.542337607952107,0.0487605466441257,0.140307793345433,0.361195449575097,0.428022663713308,0.428022663713308,0.428022663713308,"all"
"4031",70,420,14,1.44778166151097,1.14572948818841,"Exp2","mixed","PIM",0.210781886711595,1.23537016730634,0.209963868343085,1.23646806131173,0.542337607952107,0.0487605466441257,0.137584557175769,0.361195449575097,0.428022663713308,0.428022663713308,0.428022663713308,"all"
"4032",71,421,14,1.76834346805288,1.57296114644487,"Exp2","mixed","PIM",0.151962735391839,1.26826607663507,0.21670541744072,1.26826441045557,0.542337607952107,0.0487605466441257,0.106953039891327,0.388114763066323,0.459922501541838,0.459922501541838,0.459922501541838,"all"
"4033",72,422,14,1.954332247557,1.08411202797015,"Exp2","mixed","PIM",0.127982798000904,1.27793441291827,0.219395834646681,1.27719903413979,0.542337607952107,0.0487605466441257,0.0983122454481484,0.399089478573817,0.472927723425278,0.472927723425278,0.472927723425278,"all"
"4034",73,423,14,0.663061306494331,0.875122530002045,"Exp2","mixed","PIM",0.163238506363876,0.67283581626106,0.109758579586475,0.673347816308735,0.927972145036877,0.00744578478354524,0.787443250241083,0.060270135502349,0.776491358133775,0.776491358133775,0.776491358133775,"all"
"4035",74,424,14,1.31,1.31484486706722,"Exp2","mixed","PIM",0.245867151721468,1.21093031773462,0.205840125063478,1.20882033065317,0.542337607952107,0.0487605466441257,0.15652826123868,0.345138243265044,0.408994605013488,0.408994605013488,0.408994605013488,"all"
"4036",75,425,14,0.7328,0.707914998291017,"Exp2","mixed","PIM",0.137723616191837,0.68273406401016,0.110620763292956,0.684002970435317,0.927972145036877,0.00744578478354524,0.784262024408609,0.0621079183110607,0.800168465497102,0.800168465497102,0.800168465497102,"all"
"4037",76,426,14,1.76834346805288,0.876578806775797,"Exp2","mixed","PIM",0.151962735391839,1.26826607663507,0.21670541744072,1.26848385314345,0.542337607952107,0.0487605466441257,0.111730341883566,0.388114763066323,0.459922501541838,0.459922501541838,0.459922501541838,"all"
"4038",77,427,14,0.542862864224572,0.511612891654295,"Exp2","mixed","PIM",0.225424325407742,0.645023537126937,0.107628350430766,0.645268281303627,0.927972145036877,0.00744578478354524,0.810974133249395,0.0557910243474944,0.718784650244763,0.718784650244763,0.718784650244763,"all"
"4039",78,428,14,1.31,0.811560598594951,"Exp2","mixed","PIM",0.245867151721468,1.21093031773462,0.205840125063478,1.21037491482865,0.542337607952107,0.0487605466441257,0.164364681006604,0.345138243265044,0.408994605013488,0.408994605013488,0.408994605013488,"all"
"4040",79,430,14,0.4912,0.657656647919794,"Exp2","mixed","PIM",0.262244482711138,0.626624463039254,0.106346963974291,0.626852120958997,0.927972145036877,0.00744578478354524,0.823595704502163,0.053138947397526,0.684616569891336,0.684616569891336,0.684616569891336,"all"
"4041",80,431,14,0.663061306494331,0.583568519954497,"Exp2","mixed","PIM",0.163238506363876,0.67283581626106,0.109758579586475,0.672823712318606,0.927972145036877,0.00744578478354524,0.782515880175553,0.060270135502349,0.776491358133775,0.776491358133775,0.776491358133775,"all"
"4042",81,432,14,1.44778166151097,1.03009310807647,"Exp2","mixed","PIM",0.210781886711595,1.23537016730634,0.209963868343085,1.23592412373281,0.542337607952107,0.0487605466441257,0.14364737747576,0.361195449575097,0.428022663713308,0.428022663713308,0.428022663713308,"all"
"4043",82,433,14,1.31,1.13731011672462,"Exp2","mixed","PIM",0.245867151721468,1.21093031773462,0.205840125063478,1.21135864985328,0.542337607952107,0.0487605466441257,0.168981569900561,0.345138243265044,0.408994605013488,0.408994605013488,0.408994605013488,"all"
"4044",83,434,14,1.60005476290647,1.15419794339141,"Exp2","mixed","PIM",0.179502261143262,1.25429158842694,0.213574829929043,1.25373446976311,0.542337607952107,0.0487605466441257,0.129411438278667,0.375510957835062,0.444986781021675,0.444986781021675,0.444986781021675,"all"
