"","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","part"
"2759",5,1.44778166151097,1.38189678390518,"Exp2","mixed","IP",0,1.44200338263018,0.194809211017892,1.44169711932108,0.12427125802673,0,0.223075411431331,0.12427125802673,0.87572874197327,0.12427125802673,0.12427125802673,"part1"
"2760",5,0.599959465297448,0.565905566663787,"Exp2","mixed","IP",0,0.58654672865797,0.0601374066606939,0.586774762377096,0.676382733701705,0,1.39871970296962,0.676382733701705,0.323617266298295,0.676382733701705,0.676382733701705,"part1"
"2761",5,0.663061306494331,0.605888585831053,"Exp2","mixed","IP",0,0.603509781879106,0.0613793580127972,0.60338269049026,0.717918154960787,0,1.37272116132378,0.717918154960787,0.282081845039213,0.717918154960787,0.717918154960787,"part1"
"2762",5,0.542862864224572,0.669925296775546,"Exp2","mixed","IP",0,0.566424674610475,0.0587823670382553,0.566137563274676,0.631919633865332,0,1.41236269992008,0.631919633865332,0.368080366134668,0.631919633865332,0.631919633865332,"part1"
"2763",5,0.599959465297448,0.557875747575963,"Exp2","mixed","IP",0,0.58654672865797,0.0601374066606939,0.586415280916087,0.676382733701705,0,1.3918576339846,0.676382733701705,0.323617266298295,0.676382733701705,0.676382733701705,"part1"
"2764",5,0.7328,0.685982757922829,"Exp2","mixed","IP",0,0.617340298178256,0.0625015764721758,0.616900545119269,0.756091807821078,0,1.35128444986947,0.756091807821078,0.243908192178922,0.756091807821078,0.756091807821078,"part1"
"2765",5,1.60005476290647,1.78189958294206,"Exp2","mixed","IP",0,1.57069885705554,0.2118234521761,1.57060251761487,0.146786051523634,0,0.136695809390196,0.146786051523634,0.853213948476366,0.146786051523634,0.146786051523634,"part1"
"2766",5,1.60005476290647,1.63788377148558,"Exp2","mixed","IP",0,1.57069885705554,0.2118234521761,1.57187398676928,0.146786051523634,0,0.140190715178471,0.146786051523634,0.853213948476366,0.146786051523634,0.146786051523634,"part1"
"2767",5,1.954332247557,1.8779121972766,"Exp2","mixed","IP",0,1.84215171463404,0.248941602121391,1.84033811181218,0.201325728075394,0,-0.0238328356862671,0.201325728075394,0.798674271924606,0.201325728075394,0.201325728075394,"part1"
"2768",5,1.76834346805288,1.8299096221599,"Exp2","mixed","IP",0,1.70460198391809,0.229892737292915,1.70575544468011,0.172430353564156,0,0.0490892336545306,0.172430353564156,0.827569646435845,0.172430353564156,0.172430353564156,"part1"
"2769",5,1.60005476290647,1.58187656862719,"Exp2","mixed","IP",0,1.57069885705554,0.2118234521761,1.57071435368619,0.146786051523634,0,0.131040508269158,0.146786051523634,0.853213948476366,0.146786051523634,0.146786051523634,"part1"
"2770",5,1.954332247557,1.8779535608428,"Exp2","mixed","IP",0,1.84215171463404,0.248941602121391,1.84115004221996,0.201325728075394,0,-0.0246115830479645,0.201325728075394,0.798674271924606,0.201325728075394,0.201325728075394,"part1"
"2771",5,0.4912,0.605909423116827,"Exp2","mixed","IP",0,0.543259584711249,0.0573263119229342,0.543320066290387,0.585139664417926,0,1.44462080065392,0.585139664417926,0.414860335582074,0.585139664417926,0.585139664417926,"part1"
"2772",5,1.76834346805288,1.66986527295376,"Exp2","mixed","IP",0,1.70460198391809,0.229892737292915,1.70449373427877,0.172430353564156,0,0.0492266805967123,0.172430353564156,0.827569646435845,0.172430353564156,0.172430353564156,"part1"
"2773",5,1.954332247557,1.6219152575577,"Exp2","mixed","IP",0,1.84215171463404,0.248941602121391,1.84160041990559,0.201325728075394,0,-0.0281048129098892,0.201325728075394,0.798674271924606,0.201325728075394,0.201325728075394,"part1"
"2774",5,1.60005476290647,1.62188446813707,"Exp2","mixed","IP",0,1.57069885705554,0.2118234521761,1.57135604712621,0.146786051523634,0,0.134718893970541,0.146786051523634,0.853213948476366,0.146786051523634,0.146786051523634,"part1"
"2775",5,0.542862864224572,0.669972569423408,"Exp2","mixed","IP",0,0.566424674610475,0.0587823670382553,0.566656186739883,0.631919633865332,0,1.42417332201558,0.631919633865332,0.368080366134668,0.631919633865332,0.631919633865332,"part1"
"2776",5,1.76834346805288,1.58985476100861,"Exp2","mixed","IP",0,1.70460198391809,0.229892737292915,1.70590919363486,0.172430353564156,0,0.0512995564285101,0.172430353564156,0.827569646435845,0.172430353564156,0.172430353564156,"part1"
"2777",5,1.31,1.38189180783775,"Exp2","mixed","IP",0,1.3196686119515,0.178895348377244,1.31965542339315,0.10469584406112,0,0.304186705525703,0.10469584406112,0.89530415593888,0.10469584406112,0.10469584406112,"part1"
"2778",5,1.31,1.36589841356727,"Exp2","mixed","IP",0,1.3196686119515,0.178895348377244,1.3187975692358,0.10469584406112,0,0.302057425914651,0.10469584406112,0.89530415593888,0.10469584406112,0.10469584406112,"part1"
"2779",5,0.599959465297448,0.621913391532871,"Exp2","mixed","IP",0,0.58654672865797,0.0601374066606939,0.586527901238858,0.676382733701705,0,1.3935591790722,0.676382733701705,0.323617266298295,0.676382733701705,0.676382733701705,"part1"
"2780",5,1.76834346805288,1.69388226622505,"Exp2","mixed","IP",0,1.70460198391809,0.229892737292915,1.70485651500626,0.172430353564156,0,0.0527067360345761,0.172430353564156,0.827569646435845,0.172430353564156,0.172430353564156,"part1"
"2781",5,1.60005476290647,1.65390173509149,"Exp2","mixed","IP",0,1.57069885705554,0.2118234521761,1.57213580112847,0.146786051523634,0,0.131653480982895,0.146786051523634,0.853213948476366,0.146786051523634,0.146786051523634,"part1"
"2782",5,1.31,1.32595800198396,"Exp2","mixed","IP",0,1.3196686119515,0.178895348377244,1.31960309151794,0.10469584406112,0,0.301478766489944,0.10469584406112,0.89530415593888,0.10469584406112,0.10469584406112,"part1"
"2783",5,0.663061306494331,0.797929053707776,"Exp2","mixed","IP",0,0.603509781879106,0.0613793580127972,0.603758739139859,0.717918154960787,0,1.37236884133331,0.717918154960787,0.282081845039213,0.717918154960787,0.717918154960787,"part1"
