"","Nsub","Exp","model","ver","phi","mu_p_g","sig2_p_g","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","mu_p_s_IR","mu_p_l_IR","sig_pr2_s_IR","sig_pr2_l_IR","part"
"80",8,"Exp1","DIM","linear",0.152466871122771,1.29109869614255,0.0141290999502103,-36.0868233288793,60.1006736820814,18.0434116644396,5.19078477066264,1.02020536416222,-88.0853638467489,34.1014034231466,4.59674450495301,0.136438558948467,44.0426819233744,0,0,0,0,"part2"
"81",9,"Exp1","DIM","linear",0.0850314768678715,1.82083762528107,1.07624311044643,-6.79505428474355,61.3996160444298,3.39752714237177,5.6101613659663,0.903554475618479,-60.9823253745218,34.3059804995407,5.54701269552209,0.121410979796995,30.4911626872609,0,0,0,0,"part1"
"82",9,"Exp1","DIM","linear",0.19034901037354,1.56479181122707,1.1717260192608,-8.45625609291189,62.3680689804602,4.22812804645594,5.86537632437366,0.881342803637974,-62.9373924752981,35.1275007892671,5.66757057196635,0.110495197534512,31.468696237649,0,0,0,0,"part2"
"83",10,"Exp1","DIM","linear",0.00871424033568446,1.37695268237386,0.925842430339498,5.41256563289943,60.8555487373262,-2.70628281644971,3.23785598483055,0.852769502609261,-46.8272627819075,34.7356345299228,2.91712329763155,0.125155028765635,23.4136313909537,0,0,0,0,"part1"
"84",10,"Exp1","DIM","linear",-0.19608870523768,1.03134906894902,0.0986191251392009,2.91175893539548,61.8878700760906,-1.45587946769774,2.65201662295171,0.816470964561767,-50.3442964452433,35.2598423857712,2.20437049707852,0.118652270091715,25.1721482226217,0,0,0,0,"part2"
"85",11,"Exp1","DIM","linear",0.0990304639043745,1.40721978414168,1.1454429426707,-17.9406028993891,60.2749901957262,8.97030144969455,10.2482511613896,0.936470929349664,-70.1756475864298,34.1574678522059,9.81614360707424,0.104820683546197,35.0878237932149,0,0,0,0,"part1"
"86",11,"Exp1","DIM","linear",-0.0164830773733015,1.84799544198634,0.587336527128707,-21.3666321643735,64.0981415190057,10.6833160821867,9.2916044422875,1.00592451922407,-78.8996160811629,35.3316495606111,9.2916856318953,0.134581557735147,39.4498080405814,0,0,0,0,"part2"
"87",12,"Exp1","DIM","linear",-0.20944583595274,1.91336693692919,0.873886464916676,-25.2491819899017,60.6099704328343,12.6245909949508,8.08201912388484,0.79460275189043,-76.3095323423779,35.0797952565962,7.73611829209193,0.111663298380883,38.1547661711889,0,0,0,0,"part1"
"88",12,"Exp1","DIM","linear",0.158058389907118,1.46074776237816,1.18868920701281,-4.36309848583847,63.1788217411128,2.18154924291923,9.14377427183592,1.08890011450235,-59.9571360194305,35.3818029743167,8.74550160687359,0.131317884184249,29.9785680097153,0,0,0,0,"part2"
"89",13,"Exp1","DIM","linear",-0.095666088616277,2.12475757235726,0.590205139094068,-14.5687056732936,61.8651141988152,7.28435283664681,6.76531114159453,0.968466967974448,-69.1926287404257,34.5531526652492,6.44263806598183,0.111687074008092,34.5963143702128,0,0,0,0,"part1"
"90",13,"Exp1","DIM","linear",0.148727148735003,2.26865795990555,0.308695994454576,-4.2546927473246,61.061118060755,2.1273463736623,6.66982593781029,0.709852806758101,-56.6008073807941,34.8880607440203,6.55360130547884,0.114284267583726,28.3004036903971,0,0,0,0,"part2"
"91",14,"Exp1","DIM","linear",-0.0816901531840515,1.49148769899063,1.20110065341142,11.1699336935412,59.1194240582686,-5.58496684677061,6.19109856896296,0.774548817201378,-38.2527547548943,34.4080798340509,6.3071373291636,0.118784402799281,19.1263773774472,0,0,0,0,"part1"
