"","curDur","wp","mu_r","sig_r","predY","NSub","exp","model","group","ver"
"6628",1.3,0.405368257736072,1.39108705669887,0.173154470257337,1.39043397698488,2,"Exp1","baseline","long","log"
"6629",1.31,0.405368257736072,1.39743504207364,0.17386712220975,1.39744086033156,2,"Exp1","baseline","long","log"
"6630",1.32,0.405368257736072,1.40376353792605,0.174577898497533,1.40550859824097,2,"Exp1","baseline","long","log"
"6631",1.33,0.405368257736072,1.41007275171708,0.17528681580121,1.41028631968053,2,"Exp1","baseline","long","log"
"6632",1.34,0.405368257736072,1.41636288715643,0.175993890554993,1.41657455196397,2,"Exp1","baseline","long","log"
"6633",1.35,0.405368257736072,1.42263414429786,0.176699138951769,1.42333092369393,2,"Exp1","baseline","long","log"
"6634",1.36,0.405368257736072,1.42888671963136,0.177402576947965,1.42866353696083,2,"Exp1","baseline","long","log"
"6635",1.37,0.405368257736072,1.43512080617238,0.178104220268286,1.43382212833708,2,"Exp1","baseline","long","log"
"6636",1.38,0.405368257736072,1.44133659354813,0.178804084410335,1.44005524182665,2,"Exp1","baseline","long","log"
"6637",1.39,0.405368257736072,1.44753426808118,0.179502184649122,1.44909388959684,2,"Exp1","baseline","long","log"
"6638",1.4,0.405368257736072,1.45371401287041,0.180198536041454,1.45375646121009,2,"Exp1","baseline","long","log"
"6639",1.41,0.405368257736072,1.45987600786935,0.180893153430223,1.45932199607731,2,"Exp1","baseline","long","log"
"6640",1.42,0.405368257736072,1.4660204299622,0.181586051448589,1.46822480255591,2,"Exp1","baseline","long","log"
"6641",1.43,0.405368257736072,1.47214745303732,0.182277244524052,1.47167128313354,2,"Exp1","baseline","long","log"
"6642",1.44,0.405368257736072,1.47825724805862,0.182966746882433,1.47654105014211,2,"Exp1","baseline","long","log"
"6643",1.45,0.405368257736072,1.48434998313468,0.18365457255176,1.48345051902232,2,"Exp1","baseline","long","log"
"6644",1.46,0.405368257736072,1.49042582358577,0.18434073536605,1.49085437946358,2,"Exp1","baseline","long","log"
"6645",1.47,0.405368257736072,1.4964849320089,0.18502524896901,1.49654153280813,2,"Exp1","baseline","long","log"
"6646",1.48,0.405368257736072,1.50252746834086,0.185708126817646,1.50309865640736,2,"Exp1","baseline","long","log"
"6647",1.49,0.405368257736072,1.50855358991941,0.186389382185784,1.50787014691025,2,"Exp1","baseline","long","log"
"6648",1.5,0.405368257736072,1.51456345154271,0.187069028167509,1.51413784922719,2,"Exp1","baseline","long","log"
"6649",1.51,0.405368257736072,1.5205572055269,0.187747077680526,1.52086421979246,2,"Exp1","baseline","long","log"
"6650",1.52,0.405368257736072,1.5265350017621,0.188423543469438,1.52564024724717,2,"Exp1","baseline","long","log"
"6651",1.53,0.405368257736072,1.53249698776673,0.189098438108946,1.53209611325525,2,"Exp1","baseline","long","log"
"6652",1.54,0.405368257736072,1.5384433087403,0.18977177400698,1.53725287235788,2,"Exp1","baseline","long","log"
"6653",1.55,0.405368257736072,1.54437410761466,0.190443563407754,1.54358090032487,2,"Exp1","baseline","long","log"
"6654",1.56,0.405368257736072,1.55028952510382,0.191113818394749,1.55016597331022,2,"Exp1","baseline","long","log"
"6655",1.57,0.405368257736072,1.55618969975233,0.19178255089363,1.55658852889385,2,"Exp1","baseline","long","log"
"6656",1.58,0.405368257736072,1.56207476798238,0.192449772675098,1.56202788059548,2,"Exp1","baseline","long","log"
"6657",1.59,0.405368257736072,1.56794486413945,0.193115495357673,1.56829645231832,2,"Exp1","baseline","long","log"
"6658",1.6,0.405368257736072,1.57380012053686,0.193779730410412,1.57435017810062,2,"Exp1","baseline","long","log"
"6659",1.61,0.405368257736072,1.57964066749896,0.194442489155576,1.57894796455473,2,"Exp1","baseline","long","log"
"6660",1.62,0.405368257736072,1.5854666334032,0.195103782771226,1.58355229026854,2,"Exp1","baseline","long","log"
"6661",1.63,0.405368257736072,1.59127814472107,0.195763622293766,1.59069101665868,2,"Exp1","baseline","long","log"
"6662",1.64,0.405368257736072,1.59707532605789,0.196422018620429,1.59909197613958,2,"Exp1","baseline","long","log"
"6663",1.65,0.405368257736072,1.60285830019154,0.197078982511707,1.60245583459375,2,"Exp1","baseline","long","log"
"6664",1.66,0.405368257736072,1.60862718811022,0.197734524593729,1.60915971340742,2,"Exp1","baseline","long","log"
"6665",1.67,0.405368257736072,1.61438210904908,0.198388655360584,1.61439730460004,2,"Exp1","baseline","long","log"
"6666",1.68,0.405368257736072,1.62012318052604,0.199041385176596,1.62137510230008,2,"Exp1","baseline","long","log"
"6667",1.69,0.405368257736072,1.62585051837653,0.199692724278548,1.62528844657842,2,"Exp1","baseline","long","log"
"6668",1.7,0.405368257736072,1.63156423678742,0.200342682777858,1.63091134306009,2,"Exp1","baseline","long","log"
"6669",1.71,0.405368257736072,1.63726444833004,0.200991270662709,1.63723065467076,2,"Exp1","baseline","long","log"
"6670",1.72,0.405368257736072,1.64295126399231,0.201638497800128,1.64141800765158,2,"Exp1","baseline","long","log"
"6671",1.73,0.405368257736072,1.64862479321014,0.202284373938033,1.64848290303732,2,"Exp1","baseline","long","log"
"6672",1.74,0.405368257736072,1.65428514389792,0.202928908707217,1.65437203107796,2,"Exp1","baseline","long","log"
"6673",1.75,0.405368257736072,1.65993242247834,0.203572111623313,1.65928621899407,2,"Exp1","baseline","long","log"
