"","Nsub","Exp","model","ver","phi","mu_p_g","sig2_p_g","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","mu_p_s_IR","mu_p_l_IR","sig_pr2_s_IR","sig_pr2_l_IR","part"
"17",9,"Exp1","LGM","log",0,2.19204956115284,1.95381260880024,14.7604109758659,63.7712517022767,-7.38020548793297,5.72583107024135,0.661084014675191,-44.7148480718,34.0336221784438,5.82691467099038,0.067168796611089,22.3574240359,0,0,0,0,"part1"
"18",9,"Exp1","LGM","log",0,2.12645555078338,1.42704515251308,11.9974200416518,65.7886252677024,-5.99871002082592,5.96632293293137,0.779625314838174,-49.4924478182362,35.0436913377584,5.78092692474679,0.0786517514762525,24.7462239091181,0,0,0,0,"part2"
"19",10,"Exp1","LGM","log",0,1.65267987037626,1.11700362874981,25.82525650144,64.5307272796323,-12.91262825072,4.54264863836846,0.89652653587724,-34.1673544415128,34.5344218081559,4.14345742104368,0.0755412073409973,17.0836772207564,0,0,0,0,"part1"
"20",10,"Exp1","LGM","log",0,1.01569190757051,0.150330516802465,29.8193314606132,66.196187650856,-14.9096657303066,3.84188928325256,0.785612672141085,-32.4029152768839,35.0850642821074,3.71786994336457,0.0729381394817913,16.201457638442,0,0,0,0,"part2"
"21",11,"Exp1","LGM","log",0,2.15967810131726,0.693865767404891,10.8679694570401,63.3337062122873,-5.43398472852003,10.2940377083478,0.748641247917712,-47.8783954850836,33.9605237412254,10.3343483958694,0.0744385998582701,23.9391977425418,0,0,0,0,"part1"
"22",11,"Exp1","LGM","log",0,2.18286686263441,0.821771268476653,10.7108372876271,62.7087512621677,-5.35541864381353,10.6624055946267,0.650998212353867,-46.0234814473112,34.3415918946986,10.6780120163077,0.0642105946542252,23.0117407236556,0,0,0,0,"part2"
"23",12,"Exp1","LGM","log",0,2.06149953210123,1.36939679868136,39.3037456303748,65.4777335329955,-19.6518728151874,7.72837943214958,0.688271144364086,-22.6744961206851,34.4886126574656,8.01588875331932,0.0697699390199459,11.3372480603425,0,0,0,0,"part1"
"24",12,"Exp1","LGM","log",0,1.94923028650519,1.08529591675373,30.7096202489361,65.8071283977571,-15.3548101244681,8.72722316036446,0.666471466132043,-30.8149194935876,35.0448585264953,8.37072239421211,0.069230120539181,15.4074597467938,0,0,0,0,"part2"
"25",13,"Exp1","LGM","log",0,2.01501490299838,2.51090874054268,31.8100190943162,64.5860852139943,-15.9050095471581,8.39616530081898,0.750745603789409,-29.5199060183952,33.9211226576386,8.1851640890239,0.0796015644120722,14.7599530091976,0,0,0,0,"part1"
"26",13,"Exp1","LGM","log",0,2.29643417267744,1.80679916735431,38.3287625683399,64.7761656389848,-19.1643812841699,8.33363507594475,0.561988189430516,-22.229514354445,34.4970271775923,8.0338558417033,0.0534309348913289,11.1147571772225,0,0,0,0,"part2"
