"","id","trialnum","NSub","targetDur","RP","Exp","group","model","W_P_G","mu_r","sig_r","predY","W_DL_PL","sig2_DL","log_lik","W_L","W_Ds","W_P_S","W_P_L","part"
"3890",54,407,13,1.60005476290647,1.06459261323289,"Exp2","mixed","IP",0,1.33485699548113,0.296066674426161,1.33635261420194,0.870490742013003,0,-0.192855742328027,0.870490742013003,0.129509257986997,0.870490742013003,0.870490742013003,"part1"
"3891",55,408,13,0.7328,0.762088446670532,"Exp2","mixed","IP",0,0.922245665635892,0.153891759666127,0.922698538713671,0.930469055231619,0,0.462286570178786,0.930469055231619,0.0695309447683808,0.930469055231619,0.930469055231619,"part1"
"3892",56,413,13,1.31,1.18981906507361,"Exp2","mixed","IP",0,1.30086620663845,0.288413870260018,1.30168327393716,0.870490742013003,0,-0.173759531113824,0.870490742013003,0.129509257986997,0.870490742013003,0.870490742013003,"part1"
"3893",57,415,13,0.542862864224572,1.06413763287856,"Exp2","mixed","IP",0,0.903259636841583,0.150835195938062,0.901967532262021,0.930469055231619,0,0.476571857927766,0.930469055231619,0.0695309447683808,0.930469055231619,0.930469055231619,"part1"
"3894",58,416,13,0.542862864224572,0.949955309979487,"Exp2","mixed","IP",0,0.903259636841583,0.150835195938062,0.902791467725559,0.930469055231619,0,0.480857708051096,0.930469055231619,0.0695309447683808,0.930469055231619,0.930469055231619,"part1"
"3895",59,417,13,0.599959465297448,0.77240196400453,"Exp2","mixed","IP",0,0.909539232573548,0.151844977127323,0.909251610643185,0.930469055231619,0,0.474102510067246,0.930469055231619,0.0695309447683808,0.930469055231619,0.930469055231619,"part1"
"3896",60,418,13,1.76834346805288,1.30157356749078,"Exp2","mixed","IP",0,1.35221170788389,0.299979422512568,1.35309666462243,0.870490742013003,0,-0.204323569894085,0.870490742013003,0.129509257986997,0.870490742013003,0.870490742013003,"part1"
"3897",61,419,13,1.31,1.33590287358675,"Exp2","mixed","IP",0,1.30086620663845,0.288413870260018,1.30133829762883,0.870490742013003,0,-0.169429722322803,0.870490742013003,0.129509257986997,0.870490742013003,0.870490742013003,"part1"
"3898",62,421,13,1.954332247557,1.94116305061107,"Exp2","mixed","IP",0,1.36981086384335,0.303950943678692,1.37021319183351,0.870490742013003,0,-0.214655602765946,0.870490742013003,0.129509257986997,0.870490742013003,0.870490742013003,"part1"
"3899",63,422,13,1.76834346805288,1.52367383232377,"Exp2","mixed","IP",0,1.34599900605886,0.243941388321618,1.3462249163052,0.914027570456475,0,-0.00442967719300313,0.914027570456475,0.0859724295435248,0.914027570456475,0.914027570456475,"part2"
"3900",64,423,13,0.7328,0.678610312535966,"Exp2","mixed","IP",0,0.958779812903188,0.158664207956722,0.959857473645304,0.931173922429893,0,0.422452718834175,0.931173922429893,0.0688260775701072,0.931173922429893,0.931173922429893,"part2"
"3901",65,424,13,1.76834346805288,1.48173748124282,"Exp2","mixed","IP",0,1.34599900605886,0.243941388321618,1.3454302444845,0.914027570456475,0,0.00224510519365032,0.914027570456475,0.0859724295435248,0.914027570456475,0.914027570456475,"part2"
"3902",66,425,13,1.31,1.47150627570772,"Exp2","mixed","IP",0,1.31180734261506,0.23773215545569,1.31008817628998,0.914027570456475,0,0.0192647300780607,0.914027570456475,0.0859724295435248,0.914027570456475,0.914027570456475,"part2"
"3903",67,426,13,1.44778166151097,1.06299810531891,"Exp2","mixed","IP",0,1.32309918937428,0.239781296755288,1.32502104994934,0.914027570456475,0,0.0163532756398163,0.914027570456475,0.0859724295435248,0.914027570456475,0.914027570456475,"part2"
"3904",68,427,13,1.60005476290647,1.44029613368548,"Exp2","mixed","IP",0,1.33449605682332,0.241850970736942,1.33494762909624,0.914027570456475,0,0.00911168772464533,0.914027570456475,0.0859724295435248,0.914027570456475,0.914027570456475,"part2"
"3905",69,428,13,0.7328,0.970709210538189,"Exp2","mixed","IP",0,0.958779812903188,0.158664207956722,0.958429272101385,0.931173922429893,0,0.431211925502951,0.931173922429893,0.0688260775701072,0.931173922429893,0.931173922429893,"part2"
"3906",70,430,13,0.663061306494331,0.863777122303873,"Exp2","mixed","IP",0,0.952225082285167,0.157613674274956,0.952292869456442,0.931173922429893,0,0.436980479590172,0.931173922429893,0.0688260775701072,0.931173922429893,0.931173922429893,"part2"
"3907",71,432,13,0.663061306494331,1.02290433028065,"Exp2","mixed","IP",0,0.952225082285167,0.157613674274956,0.951748724826893,0.931173922429893,0,0.435633988925027,0.931173922429893,0.0688260775701072,0.931173922429893,0.931173922429893,"part2"
"3908",72,433,13,1.76834346805288,0.957744724681106,"Exp2","mixed","IP",0,1.34599900605886,0.243941388321618,1.34571077723124,0.914027570456475,0,0.0026424228963394,0.914027570456475,0.0859724295435248,0.914027570456475,0.914027570456475,"part2"
"3909",73,434,13,0.4912,1.17938472308197,"Exp2","mixed","IP",0,0.932858360865152,0.154516356190021,0.932893821151678,0.931173922429893,0,0.451644963153704,0.931173922429893,0.0688260775701072,0.931173922429893,0.931173922429893,"part2"
"3910",74,435,13,1.31,1.18666554148695,"Exp2","mixed","IP",0,1.31180734261506,0.23773215545569,1.31170102064449,0.914027570456475,0,0.0247643258078809,0.914027570456475,0.0859724295435248,0.914027570456475,0.914027570456475,"part2"
"3911",75,436,13,1.44778166151097,1.42992031613721,"Exp2","mixed","IP",0,1.32309918937428,0.239781296755288,1.32490955046614,0.914027570456475,0,0.0221640051748239,0.914027570456475,0.0859724295435248,0.914027570456475,0.914027570456475,"part2"
"3912",76,437,13,0.599959465297448,0.949884325491439,"Exp2","mixed","IP",0,0.945720212882218,0.156572239871519,0.944618136862778,0.931173922429893,0,0.443482949732475,0.931173922429893,0.0688260775701072,0.931173922429893,0.931173922429893,"part2"
"3913",77,438,13,0.542862864224572,1.11682737856609,"Exp2","mixed","IP",0,0.939264779455576,0.15553982636368,0.938744680626915,0.931173922429893,0,0.45237310044993,0.931173922429893,0.0688260775701072,0.931173922429893,0.931173922429893,"part2"
"3914",78,439,13,0.4912,1.04381265985648,"Exp2","mixed","IP",0,0.932858360865152,0.154516356190021,0.933203127908893,0.931173922429893,0,0.455420980818561,0.931173922429893,0.0688260775701072,0.931173922429893,0.931173922429893,"part2"
"3915",79,440,13,0.7328,0.678580483947371,"Exp2","mixed","IP",0,0.958779812903188,0.158664207956722,0.958748599295493,0.931173922429893,0,0.43611701554083,0.931173922429893,0.0688260775701072,0.931173922429893,0.931173922429893,"part2"
"3916",80,441,13,0.599959465297448,1.00167770324333,"Exp2","mixed","IP",0,0.945720212882218,0.156572239871519,0.945909971748172,0.931173922429893,0,0.446930830381805,0.931173922429893,0.0688260775701072,0.931173922429893,0.931173922429893,"part2"
"3917",81,442,13,0.542862864224572,1.06458053076676,"Exp2","mixed","IP",0,0.939264779455576,0.15553982636368,0.939310421140996,0.931173922429893,0,0.450893985680545,0.931173922429893,0.0688260775701072,0.931173922429893,0.931173922429893,"part2"
